"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mafb",2.3139294741614e-160,-3.17335415285416,0.114,0.911,3.70992312592298e-156
"Lyz1",1.13878640969483e-54,3.99285270876678,0.72,0.115,1.82581625066372e-50
"Ccl8",2.30803274812392e-33,-2.59559932192964,0.172,0.516,3.70046890506708e-29
"Gm826",7.69888693729146e-27,0.733099635409681,0.452,0.036,1.23436254265594e-22
"Igkc",1.28011632438578e-22,-0.261754579299838,0.121,0.396,2.05241050288771e-18
"Irf7",2.73384264256579e-21,-0.746439756980703,0.156,0.417,4.38316990882573e-17
"Mmp13",6.13133529186402e-21,-1.13420939797058,0.126,0.38,9.83036987344558e-17
"Rcn3",8.83324842010584e-21,-0.247316658514665,0.036,0.198,1.41623471919557e-16
"Cst3",1.86432138611981e-20,0.622536922187338,0.98,0.969,2.9890664783659e-16
"Pdgfc",6.62091894003841e-18,-0.763462205109669,0.109,0.333,1.06153193365636e-13
"Mmp2",8.81121870530227e-18,-0.196700948122716,0.04,0.193,1.41270269502111e-13
"Tgtp2",1.35085984043942e-17,-0.222414556924297,0.034,0.177,2.16583358217652e-13
"H2-DMa",3.85459249978822e-17,0.637936407989896,0.9,0.828,6.18006815491045e-13
"Rps9",8.35601179923118e-16,0.483316141320769,0.967,0.943,1.33971937177073e-11
"Plbd1",9.8483753167748e-15,0.607240297465702,0.894,0.76,1.5789900145385e-10
"Rps14",2.00629958451284e-14,0.434568639893774,0.962,0.917,3.21670012384944e-10
"Lsp1",4.71393289394568e-14,0.757029766136265,0.42,0.141,7.5578486088631e-10
"Tnfsf9",4.7732002735729e-14,1.17604187041198,0.485,0.208,7.65287199861943e-10
"Ccl12",5.83227295677452e-14,-1.11601633652715,0.237,0.464,9.35088323159658e-10
"S100a11",6.06372631089719e-14,0.771357901155715,0.567,0.328,9.72197239426147e-10
"Lair1",2.06544948980922e-13,-0.520855087680553,0.548,0.771,3.31153516701113e-09
"Serpina3g",3.70635906967554e-13,-0.633377661615771,0.112,0.297,5.94240549641079e-09
"Tpt1",3.90665056367198e-13,0.438578551568874,0.989,0.958,6.26353284873528e-09
"Pf4",3.95550271223854e-13,-0.951314526456397,0.546,0.734,6.34185749853205e-09
"Bst2",4.70618294205438e-13,-0.882741232286703,0.704,0.786,7.54542311099579e-09
"Gpr171",7.24027689189251e-13,-0.213453868506675,0.048,0.182,1.16083359407713e-08
"Pid1",9.50383957914337e-13,0.862715111633416,0.879,0.76,1.52375059972406e-08
"Alox5ap",1.07443820343543e-12,0.701116439162965,0.718,0.474,1.72264677156802e-08
"H2-Eb1",1.69863411277029e-12,0.415271312453819,0.999,0.979,2.7234200730046e-08
"Rps4x",1.80870740995735e-12,0.45428193115768,0.943,0.901,2.89990059038461e-08
"Rpl7",4.53549690134066e-12,0.410802637839768,0.939,0.87,7.27176218191948e-08
"Npl",5.70480768415239e-12,-0.360124894813349,0.208,0.427,9.14651816000152e-08
"Tmsb4x",1.23729780802475e-11,0.481161269437657,0.995,0.995,1.98375957560608e-07
"Fabp5",2.9757722886325e-11,-0.713004835230645,0.183,0.391,4.77105571036449e-07
"Slc40a1",3.29138673043023e-11,-0.324874918768694,0.059,0.193,5.27708034489879e-07
"H2-Ab1",4.46224619224909e-11,0.380476156691736,0.997,0.953,7.15431932003297e-07
"Fcrls",6.38095417214863e-11,-0.50383653116061,0.393,0.62,1.02305838242059e-06
"C6",6.73811971467032e-11,-0.236352127072007,0.047,0.167,1.08032273385309e-06
"Cd55",6.81497079866031e-11,-0.210929673719665,0.026,0.12,1.09264426814921e-06
"Gas6",8.25135913265124e-11,-0.598500564053195,0.369,0.578,1.32294040973797e-06
"Myh10",1.34386697063524e-10,-0.223401032702946,0.062,0.193,2.15462191401948e-06
"Ly6a",2.69019682049588e-10,-0.838561079739632,0.226,0.417,4.31319256230105e-06
"Slc9a9",3.4701801362416e-10,-0.786167374164028,0.675,0.854,5.56373981243616e-06
"Nfkbia",3.77856241640817e-10,0.538646710909403,0.967,0.948,6.05816912222722e-06
"Rpl26",3.98367717604686e-10,0.37115717325706,0.944,0.911,6.38702961635594e-06
"Slc35f6",4.00960644680486e-10,-0.409775695801314,0.307,0.516,6.42860201616223e-06
"Kansl1l",4.23055242186254e-10,-0.685157460976622,0.336,0.536,6.78284469797221e-06
"Eef1a1",4.27350475829318e-10,0.348802281420621,0.984,0.948,6.85171017897146e-06
"Ms4a4a",8.34772693742862e-10,-0.210801204600549,0.094,0.245,1.33839105987793e-05
"Scly",9.61936585833118e-10,-0.137049642264856,0.067,0.198,1.54227292806624e-05
"Dtx4",1.09324188009874e-09,-0.384754810308818,0.209,0.406,1.75279470636231e-05
"Rplp0",1.0932751646652e-09,0.418705980841294,0.941,0.906,1.75284807150772e-05
"Frmd6",1.104013914272e-09,-0.23141126261763,0.127,0.292,1.77006550875229e-05
"Psap",1.20718681010859e-09,0.448130944839203,0.984,0.964,1.93548261264711e-05
"Lonrf3",1.22994597016322e-09,-0.459527861492316,0.115,0.271,1.97197237396269e-05
"Rps5",1.30517123589675e-09,0.393584179308764,0.941,0.87,2.09258104251326e-05
"Rpl3",1.79560323101115e-09,0.377384497023103,0.941,0.88,2.87889066028017e-05
"Paox",2.47721359968799e-09,-0.233987103364433,0.12,0.281,3.97171656437975e-05
"Abcc3",2.5350145407442e-09,-0.191599057433885,0.154,0.333,4.06438881317517e-05
"Vim",2.57786615651571e-09,0.702253783980776,0.88,0.786,4.13309280874163e-05
"Pmp22",3.14663438184151e-09,0.504074466642327,0.854,0.672,5.0449989044065e-05
"Itga9",3.7135122506453e-09,-0.747780557658545,0.718,0.88,5.95387419145961e-05
"Odc1",4.0766027219095e-09,-0.802110527283378,0.603,0.755,6.5360171440375e-05
"Rps18",4.59818621857152e-09,0.404241249102701,0.927,0.901,7.37227196423572e-05
"Rps27a",4.70848756868809e-09,0.35659452567177,0.961,0.927,7.54911811887762e-05
"Otulinl",5.08761396880407e-09,0.432157082292651,0.76,0.677,8.15697147618356e-05
"F830016B08Rik",6.64939445316834e-09,-0.249827085364818,0.038,0.135,0.000106609741267648
"Rpl17",7.79452592912433e-09,0.355043182081541,0.95,0.906,0.00012496963422165
"Ece1",8.66695237236439e-09,-0.554391078171063,0.29,0.474,0.000138957247386118
"Gadd45b",9.17831835425358e-09,0.466853622390348,0.922,0.891,0.000147155978173748
"Iqsec1",1.08504534099981e-08,-0.188565477329348,0.096,0.24,0.0001739653195225
"Slc25a33",1.09148469546099e-08,-0.582743454035016,0.373,0.562,0.00017499774122326
"Socs3",1.15816720939767e-08,0.614565458092145,0.775,0.682,0.000185688948682729
"Cfb",1.2022870745667e-08,-0.177951520681655,0.051,0.156,0.000192762686665279
"Rps7",1.22665524322626e-08,0.411171316658328,0.921,0.87,0.000196669635146466
"Ifi208",1.46381002449887e-08,-0.21210917076447,0.028,0.109,0.000234692661227904
"Mpv17",1.5930111310969e-08,-0.135235623779231,0.09,0.229,0.000255407474648766
"Cxcl2",1.79134395289199e-08,0.609412609457634,0.931,0.849,0.000287206175967173
"Mmp12",2.11218883895041e-08,1.67444563006802,0.347,0.161,0.000338647236548919
"Iigp1",2.22715330347699e-08,-0.788170057313668,0.152,0.302,0.000357079489146466
"Sh3bgrl3",2.22790979886388e-08,0.452589270139475,0.899,0.823,0.000357200778051846
"Rps3",2.31644380470999e-08,0.342073944624336,0.932,0.87,0.000371395435209153
"Plxna4",2.4391318565199e-08,-0.583685697100039,0.273,0.464,0.000391066010555836
"Oas3",2.62068524917908e-08,-0.117794284577576,0.031,0.115,0.000420174466000882
"Mrps10",2.81611766495024e-08,-0.285539382972566,0.111,0.255,0.000451508145221472
"Rplp1",3.05669110648459e-08,0.29071179665281,0.986,0.953,0.000490079285102675
"Zbp1",3.37851581275543e-08,-0.364218182667601,0.186,0.344,0.000541677440259078
"Ccl9",4.28005918346722e-08,0.712597944982992,0.624,0.453,0.0006862218888853
"Sec61a2",4.66948060667719e-08,-0.274004707846386,0.1,0.234,0.000748657825668554
"Serpina3f",4.69679226502219e-08,-0.448767843650653,0.069,0.182,0.000753036703851007
"Cul5",5.15261240415199e-08,-0.249276285868683,0.22,0.401,0.000826118346757689
"Rps15",5.4473427511185e-08,0.323184743651987,0.949,0.901,0.000873372463286829
"Rpl15",5.76574490556024e-08,0.384021768704786,0.902,0.854,0.000924421880708473
"Arfgef2",5.88985313059936e-08,-0.807436667854215,0.445,0.635,0.000944320152428995
"Rack1",5.92918187941149e-08,0.290392857595799,0.942,0.88,0.000950625730726045
"Nrg1",6.25070275021637e-08,-0.607357241121696,0.041,0.13,0.00100217517194219
